ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
2421	Dogul_Dom	NEW	kàsǎ:	k a ¹ s aː ¹⁵	2219	k a ¹ s aː ¹⁵	1 7 8 3 7 8	AXTBYT	KA6SA2	5	5.K.C 5.A.V 5.6.T 5.S.C 5.A.V 5.2.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2422	Yanda_Dom	NEW	kàndà	k a ¹ n d a ¹	2219	k a ¹ n d a ¹	1 7 8 4 1 7 8	AXTMBYT	KA6NTA6	22	22.K.C 22.A.V 22.6.T 22.N.c 22.T.C 22.A.V 22.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2423	Najamba	NEW	kàndǎ:	k a ¹ n d aː ¹⁵	2219	k a ¹ n d aː ¹⁵	1 7 8 4 1 7 8	AXTMBYT	KA6NTA2	11	11.K.C 11.A.V 11.6.T 11.N.c 11.T.C 11.A.V 11.2.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2424	Tiranige_Diga	NEW	kándá	k a ⁵ n d a ⁵	2219	k a ⁵ n d a ⁵	1 7 8 4 1 7 8	AXTMBYT	KA6NTA6	17	17.K.C 17.A.V 17.6.T 17.N.c 17.T.C 17.A.V 17.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2425	Bangime	NEW	kárá	k a ⁵ r a ⁵	2219	k a ⁵ r a ⁵	1 7 8 5 7 8	AXTBYT	KA6RA6	1	1.K.C 1.A.V 1.6.T 1.R.C 1.A.V 1.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2426	Jamsay	NEW	kàná	k a ¹ n a ⁵	2219	k a ¹ n a ⁵	1 7 8 4 7 8	AXTBYT	KA6NA6	9	9.K.C 9.A.V 9.6.T 9.N.C 9.A.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2427	Mombo	NEW	kándá	k a ⁵ n d a ⁵	2219	k a ⁵ n d a ⁵	1 7 8 4 1 7 8	AXTMBYT	KA6NTA6	10	10.K.C 10.A.V 10.6.T 10.N.c 10.T.C 10.A.V 10.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2428	Nanga	NEW	kándà	k a ⁵ n d a ¹	2219	k a ⁵ n d a ¹	1 7 8 4 1 7 8	AXTMBYT	KA6NTA6	12	12.K.C 12.A.V 12.6.T 12.N.c 12.T.C 12.A.V 12.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2429	Penange	NEW	kàndà	k a ¹ n d a ¹	2219	k a ¹ n d a ¹	1 7 8 4 1 7 8	AXTMBYT	KA6NTA6	13	13.K.C 13.A.V 13.6.T 13.N.c 13.T.C 13.A.V 13.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2430	Perge_Tegu	NEW	kàlá	k a ¹ l a ⁵	2219	k a ¹ l a ⁵	1 7 8 5 7 8	AXTBYT	KA6LA6	14	14.K.C 14.A.V 14.6.T 14.L.C 14.A.V 14.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
